标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,是否是人车分流,是否是品牌房企,是否是车位充足,是否是国央企,是否是绿化率高,是否是低总价,是否是佛山楼盘,是否是低单价,是否是小型社区,是否是近地铁,是否是大型社区,是否是地铁沿线
保利南沙天汇,南沙,黄阁,在售,15000,"2室, 3室, 4室",106.5,227.5,0,0,1,0,1,0,0,1,0,0,0,0
保利招商华发中央公馆,黄埔,黄埔区府,在售,45000,"2室, 3室",120.0,465.0,1,1,0,1,1,0,0,0,0,0,0,0
中建海丝城,黄埔,文冲,在售,34000,"3室, 4室",97.5,330.0,1,1,0,1,1,0,0,0,0,0,0,0
中建·星光城,白云,石井,在售,26000,"3室, 4室",84.5,217.5,1,0,0,0,1,1,0,1,0,0,0,0
星河·盛世锦城,番禺,雅居乐,在售,37000,"3室, 4室",117.0,408.0,0,1,1,0,0,0,0,0,0,1,0,0
合生中央城（住宅）,黄埔,香雪,在售,30000,"2室, 3室, 4室",127.0,402.5,1,0,0,0,1,1,0,0,0,0,0,0
景业东湖洲豪园,南沙,南沙湾,在售,26000,3室,108.0,325.0,0,0,1,0,0,0,0,0,0,0,0,0
南沙珠江湾,南沙,南沙湾,在售,30000,"3室, 4室",108.0,318.0,1,1,0,0,0,0,0,0,0,0,1,0
碧桂园云顶,增城,凤凰城,在售,14000,"3室, 4室",147.5,163.5,1,1,1,0,0,0,0,0,0,0,0,0
新世界凯粤湾,荔湾,滘口,在售,43000,"3室, 4室",114.0,585.0,1,1,0,0,1,0,0,0,0,0,0,0
东方名都,增城,白江,在售,19000,"2室, 3室, 4室",91.0,274.0,1,0,0,0,1,0,0,0,0,0,0,0
广州敏捷绿湖首府,增城,石滩镇,在售,8500,2室,97.0,79.0,1,0,1,0,0,1,0,1,0,0,0,0
顺欣花园,增城,新塘北,在售,14800,"2室, 3室, 4室",109.0,175.15,1,0,0,0,0,0,0,0,0,0,1,1
新鸿基御华园,花都,狮岭镇,在售,15000,"2室, 3室",93.0,134.0,1,0,0,0,0,1,0,1,0,0,1,0
雍晟岭南雅苑,从化,江浦街,在售,16000,"3室, 4室",89.0,145.0,1,1,0,0,1,0,0,0,0,0,0,0
卓粤卓雅名苑,花都,花城街,在售,14500,"2室, 3室, 4室",101.0,155.0,0,0,1,0,1,1,0,1,0,0,0,0
万科幸福誉1期,黄埔,知识城,在售,31000,4室,116.0,550.0,0,1,1,1,1,0,0,0,0,0,0,0
科城山庄峻森园,黄埔,科学城,待售,41000,"3室, 4室",124.0,600.0,0,0,0,0,0,0,0,0,0,1,1,1
珠江国际城,从化,神岗镇,在售,8500,"3室, 4室",139.5,196.5,0,0,1,0,1,1,0,1,0,0,0,0
富雅都市华庭,增城,新塘北,在售,15600,"1室, 3室, 4室",77.0,142.5,1,0,0,0,0,0,0,0,0,0,1,0
珠光山水御苑,从化,江浦街,在售,8000,4室,156.0,175.0,0,0,1,0,1,0,0,1,0,0,0,0
致岭假日花园,花都,狮岭镇,在售,13000,"3室, 4室",102.5,162.5,0,0,1,0,1,1,0,1,0,0,0,0
尚东阳光雅苑,增城,沙村,在售,14000,"1室, 2室, 3室",96.0,125.0,1,1,0,0,1,0,0,0,0,0,0,0
荔富湖畔,增城,朱村,在售,14000,"3室, 4室",136.0,188.5,0,1,1,0,1,0,0,0,0,0,0,0
南沙金茂湾,南沙,明珠湾,在售,16000,1室,184.0,455.0,0,1,1,1,0,0,0,0,0,0,1,0
湾际·滨江,南沙,进港大道,在售,26000,"3室, 5室, 6室",130.5,265.0,1,1,0,0,0,1,0,0,0,0,1,0
海珠湖景峰,海珠,南洲,在售,45000,"2室, 3室",101.0,340.0,0,0,1,0,1,1,0,0,0,0,0,0
臻尚苑,番禺,广州南站,在售,28000,"2室, 3室",107.0,376.0,1,0,0,0,1,1,0,1,0,0,0,0
合汇·中央广场,增城,荔城中区,在售,21000,"2室, 3室, 5室",126.0,420.5,1,1,0,0,0,0,0,0,0,0,1,0
大城云山,从化,太平镇,在售,13000,3室,131.5,250.0,0,0,0,0,1,0,0,0,0,0,0,0
珠江源昌花园,南沙,横沥,在售,20000,"3室, 4室",101.0,242.5,1,0,0,0,1,1,0,1,0,0,0,0
惠百氏广场,增城,白江,在售,15000,"2室, 3室",102.5,182.5,1,0,0,0,0,0,0,0,0,1,1,0
仁安花园,增城,朱村,在售,11000,"2室, 3室",86.5,105.0,1,0,0,0,1,1,0,1,0,0,0,0
紫泉流溪湾,从化,太平镇,在售,16000,"3室, 4室",145.5,195.0,0,0,1,0,1,0,0,0,0,0,0,0
中泰天境,黄埔,知识城,在售,23000,4室,130.0,300.0,0,0,1,0,1,1,0,1,0,0,0,0
嘉御豪庭,增城,石滩镇,在售,12600,"2室, 3室, 4室",100.0,133.5,1,0,0,0,0,0,0,1,0,0,1,0
合景誉山国际,增城,永宁,在售,10000,3室,108.0,80.0,1,0,0,0,1,1,0,1,0,0,0,0
凯德·中新里,黄埔,知识城,在售,21000,"2室, 3室, 4室",108.0,217.5,0,0,1,0,1,1,0,1,0,0,0,0
顺丰翠园,白云,石井,在售,25000,"3室, 4室",126.0,317.5,0,0,1,0,1,1,0,1,0,0,0,0
中海亚运城,番禺,亚运城,在售,25000,"2室, 3室, 4室",168.5,450.0,1,0,0,0,1,1,0,1,0,0,0,0
华标峰湖御境,黄埔,科学城,在售,57000,"4室, 8室, 9室",488.0,2520.0,0,0,1,0,0,0,0,0,0,0,0,0
南沙珠江湾,南沙,南沙湾,在售,9000,"1室, 2室, 3室",67.0,67.5,1,0,0,0,0,1,0,1,0,0,1,0
尚上名筑,番禺,亚运城,在售,24000,"2室, 3室",107.5,285.0,1,0,0,0,1,1,0,1,0,0,0,0
金泽豪庭,增城,白江,在售,15200,"3室, 4室",87.0,174.5,1,0,0,0,0,0,0,0,0,1,1,1
金融街花溪小镇,花都,花东镇,在售,10000,"1室, 2室, 3室",101.5,127.5,0,0,1,0,1,1,0,1,0,0,0,0
华海·悦湾,南沙,南沙港,在售,17500,"2室, 3室",98.5,175.0,1,0,1,0,0,1,0,1,0,0,0,0
越秀星汇海珠湾,海珠,工业大道中,在售,30000,"3室, 4室, 5室",128.0,525.0,1,1,0,1,1,0,0,0,0,0,0,0
金时花园,增城,荔城增江,在售,9300,"2室, 3室, 4室",112.0,104.5,1,0,1,0,0,1,0,1,0,0,0,0
石滩第一城,增城,石滩镇,在售,12000,3室,110.5,157.5,1,0,1,0,0,1,0,1,0,0,0,0
雅宝新城,花都,秀全街,在售,16800,3室,147.5,199.5,0,0,1,0,1,1,0,0,0,0,0,0
山璟轩,增城,新塘南,在售,19500,3室,74.5,122.5,0,0,0,0,0,0,0,0,1,0,0,1
汇港威华雅苑,增城,朱村,在售,12000,3室,99.0,136.0,1,0,1,0,0,1,0,1,0,0,0,0
源海仙村一号,增城,石滩镇,在售,12500,"2室, 3室",107.5,175.0,1,0,1,0,0,0,0,1,0,0,0,0
元邦山清水秀,花都,狮岭镇,在售,8500,"3室, 4室",115.5,119.5,0,0,0,0,1,1,0,1,0,0,0,0
三江盛汇,增城,石滩镇,待售,12000,"3室, 4室",127.5,154.0,0,0,0,0,1,0,0,1,0,0,0,0
合和新城,花都,镜湖大道,在售,19000,"2室, 3室, 4室",141.0,318.5,0,0,1,0,0,0,0,0,0,1,1,1
南沙湾御苑,南沙,南沙港,在售,22000,4室,179.0,600.0,0,0,1,0,0,0,0,1,0,0,0,0
叠溪花园,增城,朱村,在售,10500,3室,101.5,109.0,1,0,1,0,0,1,0,1,0,0,0,0
大宏锦绣,南沙,南沙湾,在售,25000,"3室, 4室",132.5,335.0,1,0,1,0,0,0,0,0,0,1,0,0
绿地珑玥府,增城,荔城增江,在售,17000,"3室, 4室",118.0,209.0,1,1,1,1,0,0,0,0,0,0,0,0
中交汇通中心,南沙,明珠湾,在售,38000,"3室, 4室",108.0,400.0,1,1,1,1,0,0,0,0,0,0,0,0
合生湖山国际,增城,凤凰城,在售,16000,"2室, 3室, 4室",107.5,178.5,0,1,0,0,0,0,0,0,0,0,1,0
