标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,年份,建筑结构,详情页
户型周正 满五唯一 低楼层 诚意出售,长沙矿山研究院采矿设备公司宿舍 ,河西大学城,43,"7,416",2室1厅,57.99,南,简装,中楼层(共5层) ,未知,暂无数据,https://cs.lianjia.com/ershoufang/104115487759.html
钰龙天下二期精装两房全套家具家电中间楼层诚意出售,钰龙天下二期 ,观沙岭,55,"8,223",2室1厅,66.89,南 北,其他,中楼层(共32层),2014年,板楼,https://cs.lianjia.com/ershoufang/104115607758.html
地铁口，满五唯一，自住精装带地暖，拎包入住，视野好,北辰三角洲C3 ,北辰三角洲,165,"14,602",3室2厅,113,南,精装,中楼层(共55层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104114738413.html
中国铁建梅溪青秀二期 3室1厅 南,中国铁建梅溪青秀二期 ,梅溪湖北岸,130,"13,770",3室1厅,94.41,南,精装,高楼层(共27层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104115675929.html
北辰三角洲奥城E3区 1室1厅 东南,北辰三角洲奥城E3区 ,北辰三角洲,58,"11,059",1室1厅,52.45,东南,精装,中楼层(共48层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104114180157.html
地铁口小区，小高层，适合刚需住户,森林公园壹号 ,汽车南站,67,"6,862",3室1厅,97.64,南 北,简装,低楼层(共18层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104114903309.html
正规一室带燃气有阳台住宅性质公寓楼,上东印象 ,晚报,28.8,"6,201",1室1厅,46.45,北,精装,32层,2005年,板塔结合,https://cs.lianjia.com/ershoufang/104115026965.html
万科魅力之城 70年产权公寓 证在手 业主诚心卖,万科魅力之城 ,武广新城,25,"6,209",1室0厅,40.27,东,其他,25层,2013年,塔楼,https://cs.lianjia.com/ershoufang/104115327980.html
近麓谷，经典户型 视野开阔 交通便利 小区绿化高,金地自在城 ,望城区,68,"7,373",3室2厅,92.23,南 北,精装,低楼层(共32层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104115327250.html
3号线正地铁口洋房小区 诚心出售,美林水郡 ,中南汽车世界,176,"10,756",4室2厅,163.63,南,精装,低楼层(共6层),2008年,塔楼,https://cs.lianjia.com/ershoufang/104115091338.html
新上 滨江一号 住宅性质 70年产权 精装 可以拎包入住,滨江一号 ,观沙岭,39.8,"9,477",1室1厅,42,南 北,精装,中楼层(共20层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104115627317.html
念青园梓枫近中雅培粹 电梯装修3房业主换房诚心出售,富景园 ,德思勤,105,"8,716",3室2厅,120.48,南,其他,中楼层(共11层),2006年,板楼,https://cs.lianjia.com/ershoufang/104112367279.html
浏阳河风光带旁 温馨实用朝南小二房 采光充足,万象凯旋湾 ,晚报,42,"7,108",2室1厅,59.09,东南,精装,中楼层(共26层),2012年,板楼,https://cs.lianjia.com/ershoufang/104107862684.html
地铁口，居家精装修，保养很好，拎包入住，中高楼层,金房奥斯卡东区 ,省政府,33,"7,886",1室1厅,41.85,南,其他,高楼层(共13层) ,未知,板楼,https://cs.lianjia.com/ershoufang/104113552788.html
正规一室一厅，独立厨房，有天然气，纯住宅性质,标志浪漫满屋 ,新开铺,36,"9,028",1室1厅,39.88,北,精装,中楼层(共28层),2008年,板楼,https://cs.lianjia.com/ershoufang/104113056871.html
万家丽北 精装修3房 得房率高 业主诚心出售  价格可谈,花样年华 ,万家丽北,57.8,"7,543",3室2厅,76.63,南,精装,中楼层(共30层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113577417.html
近地铁口，万科物业，绿化很好，有山有水，户型周正,博林金谷 ,新开铺,83,"11,577",2室1厅,71.7,南,其他,中楼层(共22层),2008年,板楼,https://cs.lianjia.com/ershoufang/104115543841.html
首付4万，月供1000，在长沙给自己一个家,江山帝景哈佛 ,含浦,30,"7,015",1室1厅,42.77,南,其他,低楼层(共28层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115417382.html
"涉外花样汇单身公寓,商圈成熟，业主急售，随时可以看",弘坤花样汇 ,梅溪湖北岸,17,"5,703",1室1厅,29.81,南,简装,中楼层(共31层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115620701.html
装修两房 看房方便 业主诚心出售,三一街区 ,万家丽北,39.8,"6,315",2室2厅,63.03,南,精装,高楼层(共33层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104113524928.html
万科城市花园，房子保养很好，很温馨。,万科城市花园 ,梅溪湖北岸,71.8,"9,465",2室2厅,75.86,南,其他,低楼层(共24层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104114978972.html
天健城70年住宅商品房 一室一厅带天燃气 价格可谈,天健城 ,伍家岭,49.9,"10,618",1室1厅,47,南,简装,低楼层(共32层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104113474479.html
次新小区 单位房 带大露台 得房率高,九峰拾号院 ,省政府,144.8,"13,303",3室2厅,108.85,南 北,毛坯,高楼层(共6层),2019年,板楼,https://cs.lianjia.com/ershoufang/104112370466.html
凤凰城（三期）紫云府 2室1厅 南 北,凤凰城（三期）紫云府 ,开元路,62.8,"7,705",2室1厅,81.51,南 北,其他,中楼层(共34层),2014年,板楼,https://cs.lianjia.com/ershoufang/104115464359.html
交通便利，六沟垅地铁口，很好出租，户型方正,兰卡威国际 ,银盆岭,29.8,"5,665",1室1厅,52.61,东南,精装,中楼层(共32层) ,未知,塔楼,https://cs.lianjia.com/ershoufang/104115704602.html
汇金城三期 近地铁 小三房 满五唯一 自住装修,汇金城三期 ,德思勤,112,"12,585",3室2厅,89,南 北,其他,高楼层(共31层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115676587.html
十佳文明小区阳明山庄两室两厅急售you,阳明山庄 ,麓谷东,59.8,"7,186",2室2厅,83.22,南,精装,低楼层(共6层),2000年,板楼,https://cs.lianjia.com/ershoufang/104112960601.html
湘雅三，地铁口500米，18层高洋房，二梯二户纯板楼,西岸润泽府 ,桐梓坡,126,"9,267",3室2厅,135.98,南,简装,低楼层(共15层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112851194.html
北辰三角洲地铁口，70年住宅，看房随时约,北辰三角洲奥城E4区 ,北辰三角洲,110,"12,086",2室2厅,91.02,南,毛坯,高楼层(共36层) ,未知,板塔结合,https://cs.lianjia.com/ershoufang/104115513725.html
房子户型好采光好很通透，产权清晰无任何纠纷，得房高,云栖谷 ,含浦,45,"5,888",3室2厅,76.43,南,毛坯,低楼层(共30层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113471744.html
