字段1_文本,字段3,字段4,字段6,字段7_文本,字段8,字段9,字段10,字段11,字段13,字段14,字段15,字段16,字段17,字段18,字段19
保利南沙天汇,在售,南沙,黄阁,黄阁南路与进港大道交界处西南侧,2室,3室,4室,建面 78-135㎡,特价好房,低单价,车位充足,绿化率高,15000, 元/㎡(均价),总价125-330(万/套)
保利招商华发中央公馆,在售,黄埔,黄埔区府,护林路保利招商华发中央公馆,2室,3室,,建面 81-159㎡,绿化率高,人车分流,国央企,品牌房企,45000, 元/㎡(均价),总价410-520(万/套)
中建海丝城,在售,黄埔,文冲,广州市黄埔区黄埔东路1568号,3室,4室,,建面 78-117㎡,绿化率高,人车分流,国央企,品牌房企,34000, 元/㎡(均价),总价250-410(万/套)
中建·星光城,在售,白云,石井,石沙路与朝阳联滘街交界处,3室,4室,,建面 69-100㎡,低单价,低总价,绿化率高,人车分流,26000, 元/㎡(均价),总价175-260(万/套)
星河·盛世锦城,在售,番禺,雅居乐,广东省广州市番禺区陈地路44号,3室,4室,,建面 95-139㎡,绿色建筑,车位充足,品牌房企,近地铁,37000, 元/㎡(均价),总价325-491(万/套)
合生中央城（住宅）,在售,黄埔,香雪,广州市黄埔区岗荔街8号,2室,3室,4室,建面 85-169㎡,低总价,绿化率高,人车分流,入户花园,30000, 元/㎡(均价),总价225-580(万/套)
景业东湖洲豪园,在售,南沙,南沙湾,广东省广州市南沙区环市大道南横地铁站200米,3室,,,建面 95-121㎡,车位充足,低密居所,置换改善,养老舒适,26000, 元/㎡(均价),总价320-330(万/套)
南沙珠江湾,在售,南沙,南沙湾,漾滨路和海滨路交汇处,,,,,人车分流,大型社区,品牌房企,贴心物业,30000, 元/㎡(均价),总价318(万/套)
碧桂园云顶,在售,增城,凤凰城,广东省广州市增城区广惠高速路口西侧50米,3室,4室,,建面 90-205㎡,车位充足,人车分流,品牌房企,水系园林,14000, 元/㎡(均价),总价137-190(万/套)
新世界凯粤湾,在售,荔湾,滘口,芳村大道西236号,3室,4室,,建面 95-133㎡,绿化率高,人车分流,品牌房企,入户花园,43000, 元/㎡(均价),总价480-690(万/套)
东方名都,在售,增城,白江,东江大道北8号,2室,3室,4室,建面 40-142㎡,绿化率高,人车分流,入户花园,健身跑道,19000, 元/㎡(均价),总价200-348(万/套)
广州敏捷绿湖首府,在售,增城,石滩镇,石滩镇新城大道石滩中学北侧400米,2室,,,建面 71-123㎡,低单价,低总价,车位充足,人车分流,8500, 元/㎡(均价),总价64-94(万/套)
顺欣花园,在售,增城,新塘北,荔新十二路98号,2室,3室,4室,建面 80-138㎡,人车分流,大型社区,儿童乐园,地铁沿线,14800, 元/㎡(均价),总价124.3-226(万/套)
新鸿基御华园,在售,花都,狮岭镇,广州花都狮岭狮岭大道东1号,2室,3室,,建面 67-119㎡,低单价,低总价,人车分流,大型社区,15000, 元/㎡(均价),总价88-180(万/套)
雍晟岭南雅苑,在售,从化,江浦街,江埔街大江路13号,,,,建面 89㎡,绿化率高,人车分流,品牌房企,入户花园,16000, 元/㎡(均价),总价145(万/套)
