标题,地区,位置,具体位置,均价,平方米每元/单位,总价,类型,面积,标签,室厅数,均价/平方米每元
保利南沙天汇,南沙,黄阁,黄阁南路与进港大道交界处西南侧,15000, 元/㎡(均价),总价125-330(万/套),在售,建面 78-135㎡,"特价好房, 低单价, 车位充足, 绿化率高","2室, 3室, 4室","15000,  元/㎡(均价)"
保利招商华发中央公馆,黄埔,黄埔区府,护林路保利招商华发中央公馆,45000, 元/㎡(均价),总价410-520(万/套),在售,建面 81-159㎡,"绿化率高, 人车分流, 国央企, 品牌房企","2室, 3室","45000,  元/㎡(均价)"
中建海丝城,黄埔,文冲,广州市黄埔区黄埔东路1568号,34000, 元/㎡(均价),总价250-410(万/套),在售,建面 78-117㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室","34000,  元/㎡(均价)"
中建·星光城,白云,石井,石沙路与朝阳联滘街交界处,26000, 元/㎡(均价),总价175-260(万/套),在售,建面 69-100㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","26000,  元/㎡(均价)"
星河·盛世锦城,番禺,雅居乐,广东省广州市番禺区陈地路44号,37000, 元/㎡(均价),总价325-491(万/套),在售,建面 95-139㎡,"绿色建筑, 车位充足, 品牌房企, 近地铁","3室, 4室","37000,  元/㎡(均价)"
合生中央城（住宅）,黄埔,香雪,广州市黄埔区岗荔街8号,30000, 元/㎡(均价),总价225-580(万/套),在售,建面 85-169㎡,"低总价, 绿化率高, 人车分流, 入户花园","2室, 3室, 4室","30000,  元/㎡(均价)"
景业东湖洲豪园,南沙,南沙湾,广东省广州市南沙区环市大道南横地铁站200米,26000, 元/㎡(均价),总价320-330(万/套),在售,建面 95-121㎡,"车位充足, 低密居所, 置换改善, 养老舒适",3室,"26000,  元/㎡(均价)"
南沙珠江湾,南沙,南沙湾,漾滨路和海滨路交汇处,30000, 元/㎡(均价),总价318(万/套),在售,,"人车分流, 大型社区, 品牌房企, 贴心物业",,"30000,  元/㎡(均价)"
碧桂园云顶,增城,凤凰城,广东省广州市增城区广惠高速路口西侧50米,14000, 元/㎡(均价),总价137-190(万/套),在售,建面 90-205㎡,"车位充足, 人车分流, 品牌房企, 水系园林","3室, 4室","14000,  元/㎡(均价)"
新世界凯粤湾,荔湾,滘口,芳村大道西236号,43000, 元/㎡(均价),总价480-690(万/套),在售,建面 95-133㎡,"绿化率高, 人车分流, 品牌房企, 入户花园","3室, 4室","43000,  元/㎡(均价)"
东方名都,增城,白江,东江大道北8号,19000, 元/㎡(均价),总价200-348(万/套),在售,建面 40-142㎡,"绿化率高, 人车分流, 入户花园, 健身跑道","2室, 3室, 4室","19000,  元/㎡(均价)"
广州敏捷绿湖首府,增城,石滩镇,石滩镇新城大道石滩中学北侧400米,8500, 元/㎡(均价),总价64-94(万/套),在售,建面 71-123㎡,"低单价, 低总价, 车位充足, 人车分流",2室,"8500,  元/㎡(均价)"
顺欣花园,增城,新塘北,荔新十二路98号,14800, 元/㎡(均价),总价124.3-226(万/套),在售,建面 80-138㎡,"人车分流, 大型社区, 儿童乐园, 地铁沿线","2室, 3室, 4室","14800,  元/㎡(均价)"
新鸿基御华园,花都,狮岭镇,广州花都狮岭狮岭大道东1号,15000, 元/㎡(均价),总价88-180(万/套),在售,建面 67-119㎡,"低单价, 低总价, 人车分流, 大型社区","2室, 3室","15000,  元/㎡(均价)"
雍晟岭南雅苑,从化,江浦街,江埔街大江路13号,16000, 元/㎡(均价),总价145(万/套),在售,建面 89㎡,"绿化率高, 人车分流, 品牌房企, 入户花园",,"16000,  元/㎡(均价)"
霍英东集团·南天名苑,番禺,洛溪,洛浦街洛溪环岛北路8号,90000, 元/㎡(均价),总价1120-6300(万/套),在售,建面 140-480㎡,"车位充足, 低密居所, 国央企, 置换改善","4室, 5室","90000,  元/㎡(均价)"
卓粤卓雅名苑,花都,花城街,建设北路223号,14500, 元/㎡(均价),总价130-180(万/套),在售,建面 77-125㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室, 4室","14500,  元/㎡(均价)"
万科幸福誉1期,黄埔,知识城,中新知识城•地铁何棠下站（麦当劳旁）,31000, 元/㎡(均价),总价550(万/套),在售,建面 66-166㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"31000,  元/㎡(均价)"
科城山庄峻森园,黄埔,科学城,峻祥路与峻福路交汇处,41000, 元/㎡(均价),总价530-670(万/套),待售,建面 63-185㎡,"大型社区, 近地铁, 地铁沿线, 大平层","3室, 4室","41000,  元/㎡(均价)"
珠江国际城,从化,神岗镇,广州地铁14号线神岗站A出口前行约400米,8500, 元/㎡(均价),总价73-320(万/套),在售,建面 79-200㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","8500,  元/㎡(均价)"
富雅都市华庭,增城,新塘北,汇太东路233号,15600, 元/㎡(均价),总价65-220(万/套),在售,建面 38-116㎡,"人车分流, 大型社区, 避暑, 儿童乐园","1室, 3室, 4室","15600,  元/㎡(均价)"
珠光山水御苑,从化,江浦街,广州市从化温泉大道13号,8000, 元/㎡(均价),总价175(万/套),在售,建面 141-171㎡,"低单价, 车位充足, 绿化率高, 健身跑道",4室,"8000,  元/㎡(均价)"
致岭假日花园,花都,狮岭镇,花都狮岭大道6号,13000, 元/㎡(均价),总价135-190(万/套),在售,建面 94-111㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","13000,  元/㎡(均价)"
尚东阳光雅苑,增城,沙村,新塘镇西宁西路618号,14000, 元/㎡(均价),总价65-185(万/套),在售,建面 49-143㎡,"绿化率高, 人车分流, 品牌房企, 入户花园","1室, 2室, 3室","14000,  元/㎡(均价)"
荔富湖畔,增城,朱村,朱村街朱村大道东88号,14000, 元/㎡(均价),总价142-235(万/套),在售,建面 104-168㎡,"车位充足, 绿化率高, 品牌房企, 入户花园","3室, 4室","14000,  元/㎡(均价)"
南沙金茂湾,南沙,明珠湾,南沙明珠湾灵山岛尖沙嘴中路以南,16000, 元/㎡(均价),总价455(万/套),在售,建面 138-230㎡,"车位充足, 大型社区, 国央企, 品牌房企",1室,"16000,  元/㎡(均价)"
